"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
1791620,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374327003",4
1791621,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374013112",4
1791622,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374080032",4
1791623,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086242",4
1791624,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060371244003",4
1791625,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374041004",4
1791626,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060375019001",4
1791627,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374072001",4
1791628,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374340032",4
1791629,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086271",4
1791630,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374083031",4
1791631,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060650406151",4
1791632,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374079001",4
1791633,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374066011",4
1791634,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060650424122",4
1791635,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060290010001",4
1791636,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374075011",4
